Gene	Score	Prediction	Annotation	Comment	Rank gradR analysis
slr0634	-0,3799639613	Non RNA-binding protein			
slr1946	-0,3814926389	Non RNA-binding protein			
ssr0680	-0,3815569605	Non RNA-binding protein			
sll0832	-0,3824569366	Non RNA-binding protein			
slr1565	-0,3833395671	Non RNA-binding protein			
ssl6023	-0,3835887978	Non RNA-binding protein			
ssl6082	-0,3835887978	Non RNA-binding protein			
ssl6023	-0,3835887978	Non RNA-binding protein			
ssl6082	-0,3835887978	Non RNA-binding protein			
slr1125	-0,3836557711	Non RNA-binding protein			
slr0879	-0,38425011	Non RNA-binding protein			
ssr3341	-0,3854774641	Non RNA-binding protein			
slr5112	-0,3854885425	Non RNA-binding protein			
slr1416	-0,3858266631	Non RNA-binding protein			
sml0010	-0,3862336654	Non RNA-binding protein			
ssr2998	-0,3871347587	Non RNA-binding protein			
sll1987	-0,3872129065	Non RNA-binding protein			
slr1322	-0,3875354349	Non RNA-binding protein			
slr0707	-0,3877408301	Non RNA-binding protein			
sll0065	-0,388526354	Non RNA-binding protein			
sll1620	-0,3890358132	Non RNA-binding protein			
slr0082	-0,3892941113	Non RNA-binding protein			
sll1636	-0,3906918857	Non RNA-binding protein			
slr5119	-0,3922762424	Non RNA-binding protein			
slr5119	-0,3922762424	Non RNA-binding protein			
slr0658	-0,392821353	Non RNA-binding protein			
sll0794	-0,3935972939	Non RNA-binding protein			
sll1091	-0,393623708	Non RNA-binding protein			
slr1098	-0,3936961206	Non RNA-binding protein			
slr0919	-0,3940875528	Non RNA-binding protein			
slr0985	-0,3944705835	Non RNA-binding protein			
slr0118	-0,3951524011	Non RNA-binding protein			
sll5014	-0,3952627303	Non RNA-binding protein			
sll5014	-0,3952627303	Non RNA-binding protein			
slr1887	-0,3954213423	Non RNA-binding protein			
slr0286	-0,3955242103	Non RNA-binding protein			
sll5123	-0,3963528151	Non RNA-binding protein			
sll5123	-0,3963528151	Non RNA-binding protein			
ssl5007	-0,3983337902	Non RNA-binding protein			
ssl5007	-0,3983337902	Non RNA-binding protein			
sll1439	-0,3989015028	Non RNA-binding protein			
sll1931	-0,3990685649	Non RNA-binding protein			
sll0916	-0,3993333769	Non RNA-binding protein			
sll1878	-0,3996506855	Non RNA-binding protein			
slr0484	-0,4006054922	Non RNA-binding protein			
sll1094	-0,4025586243	Non RNA-binding protein			
slr7014	-0,403630969	Non RNA-binding protein			
slr7014	-0,403630969	Non RNA-binding protein			
sll0424	-0,4036949516	Non RNA-binding protein			
sll1180	-0,4060042021	Non RNA-binding protein			
slr8016	-0,406417991	Non RNA-binding protein			
slr8016	-0,406417991	Non RNA-binding protein			
slr0947	-0,4071853432	Non RNA-binding protein			
sll0765	-0,4072499579	Non RNA-binding protein			
slr1194	-0,4089391594	Non RNA-binding protein			
slr0355	-0,4122009014	Non RNA-binding protein			
slr1811	-0,4125781585	Non RNA-binding protein			
slr0184	-0,4129799428	Non RNA-binding protein			
slr0427	-0,4132029006	Non RNA-binding protein			
sll0573	-0,4141467118	Non RNA-binding protein			
sll0096	-0,4147661534	Non RNA-binding protein			
slr0086	-0,4162571511	Non RNA-binding protein			
sll0177	-0,4163393195	Non RNA-binding protein			
ssl3342	-0,4164381328	Non RNA-binding protein			
slr1712	-0,4170306131	Non RNA-binding protein			
slr0309	-0,4173484311	Non RNA-binding protein			
sll1308	-0,4174235418	Non RNA-binding protein			
sll5042	-0,417534708	Non RNA-binding protein			
sll5042	-0,417534708	Non RNA-binding protein			
ssr2254	-0,4181512145	Non RNA-binding protein			
sll1196	-0,4184805063	Non RNA-binding protein			
sll0260	-0,4185838972	Non RNA-binding protein			
slr1982	-0,4202797659	Non RNA-binding protein			
sll1609	-0,4204728889	Non RNA-binding protein			
sll1247	-0,4209121189	Non RNA-binding protein			
slr1496	-0,4214319274	Non RNA-binding protein			
slr5118	-0,423436921	Non RNA-binding protein			
slr5118	-0,423436921	Non RNA-binding protein			
slr0443	-0,4239311503	Non RNA-binding protein			
sll0921	-0,4245970924	Non RNA-binding protein			
sll1267	-0,4250057308	Non RNA-binding protein			
ssr1041	-0,4252965964	Non RNA-binding protein			
slr0231	-0,425402771	Non RNA-binding protein			
slr0077	-0,4254120549	Non RNA-binding protein			
ssl2789	-0,4279258881	Non RNA-binding protein			
slr1842	-0,4294101415	Non RNA-binding protein			
ssl3044	-0,4296097441	Non RNA-binding protein			
sll1643	-0,4298658763	Non RNA-binding protein			
slr8015	-0,4306919296	Non RNA-binding protein			
slr8015	-0,4306919296	Non RNA-binding protein			
slr0079	-0,4311384563	Non RNA-binding protein			
sll1897	-0,4312241304	Non RNA-binding protein			
ssl6092	-0,4313015873	Non RNA-binding protein			
sll1758	-0,4316005332	Non RNA-binding protein			
slr0260	-0,4316062806	Non RNA-binding protein			
slr1943	-0,4325300139	Non RNA-binding protein			
slr1220	-0,4327853409	Non RNA-binding protein			
sll1209	-0,4328534054	Non RNA-binding protein			
sll0909	-0,4333769434	Non RNA-binding protein			
ssr0256	-0,4341302624	Non RNA-binding protein			
slr2044	-0,4341553611	Non RNA-binding protein			
sll1797	-0,4344346366	Non RNA-binding protein			
slr2084	-0,4347283957	Non RNA-binding protein			
slr0664	-0,4349206643	Non RNA-binding protein			
slr1601	-0,4350945708	Non RNA-binding protein			
sll0041	-0,4360940221	Non RNA-binding protein			
sll1392	-0,4361596488	Non RNA-binding protein			
slr1702	-0,4362257666	Non RNA-binding protein			
ssl8039	-0,4371150563	Non RNA-binding protein			
ssl8039	-0,4371150563	Non RNA-binding protein			
sll1514	-0,4382928547	Non RNA-binding protein			
ssl0318	-0,4386336595	Non RNA-binding protein			
sll1612	-0,4388846459	Non RNA-binding protein			
smr0002	-0,4396861546	Non RNA-binding protein			
ssl6092	-0,4397204523	Non RNA-binding protein			
slr1206	-0,4398398881	Non RNA-binding protein			
ssr5117	-0,440662336	Non RNA-binding protein			
ssr5117	-0,440662336	Non RNA-binding protein			
ssl2874	-0,4407290229	Non RNA-binding protein	RemA homolog		
slr1794	-0,4413488123	Non RNA-binding protein			
slr1960	-0,441925436	Non RNA-binding protein			
sll1761	-0,4427445388	Non RNA-binding protein			
slr0402	-0,4430228307	Non RNA-binding protein			
slr1907	-0,4437819261	Non RNA-binding protein			
sll0185	-0,4446853321	Non RNA-binding protein		Rho-domain containing protein; cf. master thesis Anna Miucci	
slr1228	-0,4450240043	Non RNA-binding protein			
slr0886	-0,4456107037	Non RNA-binding protein			
slr0448	-0,4462626083	Non RNA-binding protein			
slr1306	-0,4462694327	Non RNA-binding protein			
slr1413	-0,4464406287	Non RNA-binding protein			
sll0107	-0,4469933081	Non RNA-binding protein			
slr1777	-0,447589621	Non RNA-binding protein			
slr8036	-0,4483820017	Non RNA-binding protein			
slr0334	-0,44863715	Non RNA-binding protein			
ssr2962	-0,4491866667	Non RNA-binding protein			
sll1369	-0,4496113507	Non RNA-binding protein			
sll0136	-0,4509831922	Non RNA-binding protein			
sll0784	-0,4521875244	Non RNA-binding protein			
slr1269	-0,4523010468	Non RNA-binding protein			
sll1378	-0,4524785861	Non RNA-binding protein			
sll0786	-0,4527851346	Non RNA-binding protein			
slr0920	-0,4530542664	Non RNA-binding protein			
sll0499	-0,4536421641	Non RNA-binding protein			
ssl0426	-0,4536699248	Non RNA-binding protein			
ssr2699	-0,4541434852	Non RNA-binding protein			
slr1340	-0,4549781161	Non RNA-binding protein			
slr1347	-0,4551767231	Non RNA-binding protein			
slr0980	-0,4552519708	Non RNA-binding protein			
slr2043	-0,4553809122	Non RNA-binding protein			
slr0808	-0,4563378982	Non RNA-binding protein			
slr1219	-0,4563538837	Non RNA-binding protein			
slr1198	-0,4568791056	Non RNA-binding protein			
sll1774	-0,4569682077	Non RNA-binding protein			
sll0415	-0,4584662669	Non RNA-binding protein			
slr7012	-0,4586270175	Non RNA-binding protein			
slr7012	-0,4586270175	Non RNA-binding protein			
slr0081	-0,460257545	Non RNA-binding protein			
slr7010	-0,4611833416	Non RNA-binding protein			
slr0900	-0,4612048097	Non RNA-binding protein			
ssr5106	-0,4620405736	Non RNA-binding protein			
ssr5106	-0,4620405736	Non RNA-binding protein			
sll5028	-0,4636340055	Non RNA-binding protein			
slr1568	-0,4647313192	Non RNA-binding protein			
slr8036	-0,4651338712	Non RNA-binding protein			
sll1498	-0,4672422514	Non RNA-binding protein			
slr1377	-0,4672491932	Non RNA-binding protein			
sll1336	-0,4678176257	Non RNA-binding protein			
slr0773	-0,4688756318	Non RNA-binding protein			
slr0121	-0,4705879557	Non RNA-binding protein			
slr0890	-0,4720233027	Non RNA-binding protein			
slr0883	-0,4729217791	Non RNA-binding protein			
slr0387	-0,4729697344	Non RNA-binding protein			
slr0556	-0,4730371815	Non RNA-binding protein			
slr0495	-0,473063975	Non RNA-binding protein			
slr1576	-0,4733954154	Non RNA-binding protein			
sll0755	-0,4737189792	Non RNA-binding protein			
sll6093	-0,4741981867	Non RNA-binding protein			
sll6093	-0,4741981867	Non RNA-binding protein			
sll0587	-0,4742398113	Non RNA-binding protein			
slr0166	-0,4742722224	Non RNA-binding protein			
slr2074	-0,4743351493	Non RNA-binding protein			
sll1049	-0,4762706672	Non RNA-binding protein			
slr0755	-0,476288593	Non RNA-binding protein			
slr0797	-0,4768832101	Non RNA-binding protein			
slr1993	-0,4776401067	Non RNA-binding protein			
ssr2898	-0,4798267826	Non RNA-binding protein			
sll0083	-0,4805815971	Non RNA-binding protein			
sll0064	-0,4812706816	Non RNA-binding protein			
slr0213	-0,4821645453	Non RNA-binding protein			
sll1173	-0,4823340313	Non RNA-binding protein			
sll1688	-0,482601881	Non RNA-binding protein			
sll1941	-0,4826719338	Non RNA-binding protein			
slr7081	-0,4827634833	Non RNA-binding protein			
slr7081	-0,4827634833	Non RNA-binding protein			
slr1933	-0,4829105679	Non RNA-binding protein			
slr0666	-0,4830256787	Non RNA-binding protein			
slr0863	-0,4830756605	Non RNA-binding protein			
sll1300	-0,4847493372	Non RNA-binding protein			
slr0143	-0,4851484844	Non RNA-binding protein			
slr0776	-0,4851500001	Non RNA-binding protein			
slr6040	-0,4851735337	Non RNA-binding protein			
slr6040	-0,4851735337	Non RNA-binding protein			
slr1024	-0,4856640463	Non RNA-binding protein			
sll1825	-0,4863969612	Non RNA-binding protein			
slr0868	-0,4868067617	Non RNA-binding protein			
sll1415	-0,4873870438	Non RNA-binding protein			
sll1909	-0,4876174496	Non RNA-binding protein			
slr0294	-0,48765991	Non RNA-binding protein			
slr1282	-0,4878526272	Non RNA-binding protein			
sll0042	-0,4887041996	Non RNA-binding protein			
slr0925	-0,4893412986	Non RNA-binding protein			
sll1640	-0,4901510839	Non RNA-binding protein			
sll0161	-0,4908586063	Non RNA-binding protein			
slr2104	-0,4909111065	Non RNA-binding protein			
slr1882	-0,4910239383	Non RNA-binding protein			
slr0416	-0,4914902476	Non RNA-binding protein			
slr0788	-0,4925507187	Non RNA-binding protein			
sll0170	-0,4930535229	Non RNA-binding protein			
sll0088	-0,4932304505	Non RNA-binding protein			
sll1624	-0,4941443137	Non RNA-binding protein			
slr1916	-0,4965468412	Non RNA-binding protein			
sll1030	-0,497425351	Non RNA-binding protein			
slr7010	-0,4980723668	Non RNA-binding protein			
sll1028	-0,4984651726	Non RNA-binding protein			
sll0219	-0,4985422489	Non RNA-binding protein			
sll0753	-0,4985615428	Non RNA-binding protein			
slr0381	-0,498675564	Non RNA-binding protein			
slr6042	-0,4995405623	Non RNA-binding protein			
slr6042	-0,4995405623	Non RNA-binding protein			
slr2015	-0,5015953707	Non RNA-binding protein			
slr0833	-0,5016136803	Non RNA-binding protein			
slr1223	-0,5025046851	Non RNA-binding protein			
slr1032	-0,5035286025	Non RNA-binding protein			
sll0513	-0,5037574191	Non RNA-binding protein			
slr0351	-0,5055297699	Non RNA-binding protein			
sll8001	-0,505974785	Non RNA-binding protein			
sll8001	-0,505974785	Non RNA-binding protein			
slr1253	-0,5060988956	Non RNA-binding protein			
sll0045	-0,5062951222	Non RNA-binding protein			
slr1807	-0,5079818059	Non RNA-binding protein			
ssl2507	-0,508567607	Non RNA-binding protein			
slr1124	-0,5097522418	Non RNA-binding protein			
slr0871	-0,509859286	Non RNA-binding protein			
slr0376	-0,5105246761	Non RNA-binding protein			
slr0237	-0,5105853797	Non RNA-binding protein			
ssr5092	-0,5114321913	Non RNA-binding protein			
ssr5092	-0,5114321913	Non RNA-binding protein			
sll0888	-0,5114401216	Non RNA-binding protein			
sll0626	-0,5115005807	Non RNA-binding protein			
sll1120	-0,5119391665	Non RNA-binding protein			
sll1631	-0,5127503923	Non RNA-binding protein			
sll0221	-0,5130656785	Non RNA-binding protein			
ssl2084	-0,513709737	Non RNA-binding protein			
sll1080	-0,5167463765	Non RNA-binding protein			
slr0105	-0,5171327523	Non RNA-binding protein			
slr0945	-0,5173559515	Non RNA-binding protein			
sll1095	-0,5174824553	Non RNA-binding protein			
sll1221	-0,5176694617	Non RNA-binding protein			
sll0728	-0,5180228913	Non RNA-binding protein			
ssl1923	-0,5187950873	Non RNA-binding protein			
slr0876	-0,5189190031	Non RNA-binding protein			
slr0982	-0,5190708151	Non RNA-binding protein			
sll0158	-0,5200038581	Non RNA-binding protein			
sll1220	-0,5207518223	Non RNA-binding protein			
slr0619	-0,5210190256	Non RNA-binding protein			
sll0230	-0,5219399815	Non RNA-binding protein			
ssr2049	-0,5222972212	Non RNA-binding protein			
ssr2787	-0,5223235648	Non RNA-binding protein			
sll1714	-0,5235666557	Non RNA-binding protein			
slr2124	-0,5236833984	Non RNA-binding protein			
ssl2733	-0,5237961646	Non RNA-binding protein			
sll0385	-0,5240190588	Non RNA-binding protein			
slr0325	-0,5256236338	Non RNA-binding protein			
ssl1300	-0,525841779	Non RNA-binding protein			
slr0825	-0,5259240397	Non RNA-binding protein			
sll1106	-0,5284858689	Non RNA-binding protein			
slr1971	-0,5291258471	Non RNA-binding protein			
sll1717	-0,5304026432	Non RNA-binding protein			
sll1193	-0,532418989	Non RNA-binding protein			
sll1041	-0,5325457429	Non RNA-binding protein			
slr2036	-0,5334427281	Non RNA-binding protein			
sll1338	-0,5351758967	Non RNA-binding protein			
sll1526	-0,5371780072	Non RNA-binding protein			
slr1903	-0,5378352983	Non RNA-binding protein			
ssl2245	-0,5398358383	Non RNA-binding protein			
sll1201	-0,5399634841	Non RNA-binding protein			
ssl5015	-0,5403316159	Non RNA-binding protein			
ssl5015	-0,5403316159	Non RNA-binding protein			
slr0901	-0,5408132383	Non RNA-binding protein			
sll1579	-0,5410882131	Non RNA-binding protein			
sll0286	-0,5411573959	Non RNA-binding protein			
sll0173	-0,5413740847	Non RNA-binding protein			
slr5037	-0,5414279986	Non RNA-binding protein			
slr5037	-0,5414279986	Non RNA-binding protein			
sll1633	-0,5420961597	Non RNA-binding protein			
ssr3383	-0,5421810367	Non RNA-binding protein			
sll5069	-0,5434812812	Non RNA-binding protein			
sll5069	-0,5434812812	Non RNA-binding protein			
slr0626	-0,543805805	Non RNA-binding protein			
sll1696	-0,5438438275	Non RNA-binding protein			
sll1306	-0,5438499634	Non RNA-binding protein			
sll1112	-0,5439033237	Non RNA-binding protein			
slr0399	-0,5449911618	Non RNA-binding protein			
ssl1277	-0,5465401223	Non RNA-binding protein			
slr6103	-0,5466400199	Non RNA-binding protein			
slr6103	-0,5466400199	Non RNA-binding protein			
sll1635	-0,5472983103	Non RNA-binding protein			
slr7058	-0,5487672824	Non RNA-binding protein			
slr7058	-0,5487672824	Non RNA-binding protein			
sll1354	-0,5493683056	Non RNA-binding protein			
sll1390	-0,5498270598	Non RNA-binding protein			
ssl5091	-0,5521471287	Non RNA-binding protein			
ssl5091	-0,5521471287	Non RNA-binding protein			
sll0269	-0,552470607	Non RNA-binding protein			
sll0662	-0,5540767599	Non RNA-binding protein			
slr0395	-0,5541652341	Non RNA-binding protein			
sll0585	-0,5543043051	Non RNA-binding protein			
slr0799	-0,5544085784	Non RNA-binding protein			
sll1786	-0,5550096259	Non RNA-binding protein			
slr1227	-0,5554647596	Non RNA-binding protein			
sll1476	-0,5559002019	Non RNA-binding protein			
slr0076	-0,5575033939	Non RNA-binding protein			
slr1812	-0,5583759177	Non RNA-binding protein			
sll0783	-0,5587014532	Non RNA-binding protein			
slr1783	-0,5590337379	Non RNA-binding protein			
sll1212	-0,5594149741	Non RNA-binding protein			
ssr1176	-0,5595332408	Non RNA-binding protein			
sll6054	-0,5598594625	Non RNA-binding protein			
slr1545	-0,5607008833	Non RNA-binding protein			
slr6107	-0,5632021332	Non RNA-binding protein			
slr6107	-0,5632021332	Non RNA-binding protein			
slr1738	-0,5636527421	Non RNA-binding protein			
sll0634	-0,5644801106	Non RNA-binding protein			
slr0073	-0,5648353513	Non RNA-binding protein			
sll0336	-0,5653473367	Non RNA-binding protein			
slr1739	-0,5664041436	Non RNA-binding protein			
slr1076	-0,5677416888	Non RNA-binding protein			
slr1840	-0,5693619212	Non RNA-binding protein			
ssl0090	-0,5693698598	Non RNA-binding protein			
sll0288	-0,5696418109	Non RNA-binding protein			
sll1475	-0,569881725	Non RNA-binding protein			
slr1507	-0,5703167757	Non RNA-binding protein			
ssl3297	-0,570632609	Non RNA-binding protein			
sll0902	-0,5706768512	Non RNA-binding protein			
slr2088	-0,5716258887	Non RNA-binding protein			
slr1493	-0,5725597973	Non RNA-binding protein			
slr1476	-0,5726090025	Non RNA-binding protein			
slr1245	-0,5731247914	Non RNA-binding protein			
slr1957	-0,5738240946	Non RNA-binding protein			
sll1376	-0,5741065158	Non RNA-binding protein			
sll1223	-0,5756663335	Non RNA-binding protein			
sll0990	-0,5761873972	Non RNA-binding protein			
sll0044	-0,5763692681	Non RNA-binding protein			
slr0089	-0,5764071267	Non RNA-binding protein			
slr0397	-0,5779526774	Non RNA-binding protein			
sll0924	-0,578464691	Non RNA-binding protein			
slr5087	-0,5784797606	Non RNA-binding protein			
slr5087	-0,5784797606	Non RNA-binding protein			
sll0473	-0,5789267108	Non RNA-binding protein			
sll0406	-0,5795945625	Non RNA-binding protein			
ssl3076	-0,5802408607	Non RNA-binding protein			
sll1053	-0,5813293477	Non RNA-binding protein			
sll1721	-0,5833871762	Non RNA-binding protein			
sll6054	-0,5837899858	Non RNA-binding protein			
slr1686	-0,5838876274	Non RNA-binding protein			
slr1608	-0,5845801685	Non RNA-binding protein			
slr0039	-0,5849831867	Non RNA-binding protein			
sll0461	-0,5866668417	Non RNA-binding protein			
sll0981	-0,5867896903	Non RNA-binding protein			
sll0846	-0,5874256078	Non RNA-binding protein			
sll0709	-0,5874587983	Non RNA-binding protein			
slr0326	-0,5880215905	Non RNA-binding protein			
sll0762	-0,5880435201	Non RNA-binding protein			
slr0652	-0,5881770265	Non RNA-binding protein			
sll8002	-0,5886093452	Non RNA-binding protein			
sll8002	-0,5886093452	Non RNA-binding protein			
slr0301	-0,5889088444	Non RNA-binding protein			
sll1999	-0,5896175693	Non RNA-binding protein			
slr1418	-0,5899461332	Non RNA-binding protein			
sll0488	-0,5900437002	Non RNA-binding protein			
slr0344	-0,5909384309	Non RNA-binding protein			
ssl5100	-0,5912415443	Non RNA-binding protein			
ssl5100	-0,5912415443	Non RNA-binding protein			
sll1003	-0,5914087962	Non RNA-binding protein			
sll0168	-0,5916128533	Non RNA-binding protein			
slr0374	-0,5919634233	Non RNA-binding protein			
slr1790	-0,5929504283	Non RNA-binding protein			
slr0211	-0,5931470906	Non RNA-binding protein	acyl-CoA N-acyltransferase domain protein		
slr0091	-0,5948777088	Non RNA-binding protein			
sll0539	-0,5960001073	Non RNA-binding protein			
slr1470	-0,5970466575	Non RNA-binding protein			
sll1528	-0,5972058899	Non RNA-binding protein			
sll1557	-0,5976479073	Non RNA-binding protein			
slr0713	-0,5977750605	Non RNA-binding protein			
sll5132	-0,5982477097	Non RNA-binding protein			
sll1574	-0,5986153177	Non RNA-binding protein			
slr0007	-0,5995223738	Non RNA-binding protein			
slr7025	-0,5997324216	Non RNA-binding protein			
slr7025	-0,5997324216	Non RNA-binding protein			
slr1945	-0,6004227981	Non RNA-binding protein			
slr1968	-0,6006364042	Non RNA-binding protein			
sll0503	-0,6009065097	Non RNA-binding protein			
slr1325	-0,6010803861	Non RNA-binding protein			
slr7011	-0,6011992557	Non RNA-binding protein			
slr7011	-0,6011992557	Non RNA-binding protein			
slr1563	-0,6012588538	Non RNA-binding protein			
slr1232	-0,6013629262	Non RNA-binding protein			
slr0667	-0,6015044482	Non RNA-binding protein			
ssl6061	-0,6018851688	Non RNA-binding protein			
ssl6061	-0,6018851688	Non RNA-binding protein			
sll0720	-0,601911083	Non RNA-binding protein			
ssl3364	-0,6025688401	Non RNA-binding protein			
slr0823	-0,6027618901	Non RNA-binding protein			
slr1246	-0,60357609	Non RNA-binding protein			
slr1052	-0,6036194624	Non RNA-binding protein			
sll1595	-0,6040484541	Non RNA-binding protein			
sll0649	-0,6052582451	Non RNA-binding protein			
sll1273	-0,6054911441	Non RNA-binding protein			
slr1718	-0,6066129195	Non RNA-binding protein			
sll1272	-0,6066452148	Non RNA-binding protein			
sll0659	-0,6079083769	Non RNA-binding protein			
slr1861	-0,6080393716	Non RNA-binding protein			
slr0523	-0,6095725443	Non RNA-binding protein			
sll5132	-0,6096363918	Non RNA-binding protein			
slr6094	-0,6099605341	Non RNA-binding protein			
slr6094	-0,6099605341	Non RNA-binding protein			
slr5102	-0,6100000584	Non RNA-binding protein			
slr5102	-0,6100000584	Non RNA-binding protein			
sll0823	-0,6101791279	Non RNA-binding protein			
sll1961	-0,6107760093	Non RNA-binding protein			
ssl3291	-0,6118697627	Non RNA-binding protein			
slr0680	-0,6131380448	Non RNA-binding protein			
sll0594	-0,6132099828	Non RNA-binding protein			
slr0887	-0,613401527	Non RNA-binding protein			
slr0821	-0,6134780179	Non RNA-binding protein			
ssl8003	-0,614198443	Non RNA-binding protein			8, left
ssl8003	-0,614198443	Non RNA-binding protein			
ssr6002	-0,6152829281	Non RNA-binding protein			
ssr6002	-0,6152829281	Non RNA-binding protein			
slr2107	-0,6153333059	Non RNA-binding protein			
sll5002	-0,6160549737	Non RNA-binding protein			
sll5002	-0,6160549737	Non RNA-binding protein			
sll1384	-0,6162846606	Non RNA-binding protein			
slr1876	-0,6163119963	Non RNA-binding protein			
slr0058	-0,6173602611	Non RNA-binding protein			
slr0618	-0,617635177	Non RNA-binding protein			
sll1894	-0,6178421558	Non RNA-binding protein			
ssl0452	-0,6179689564	Non RNA-binding protein			
sll0225	-0,6180291968	Non RNA-binding protein			
ssr7017	-0,6181036888	Non RNA-binding protein			
ssr7017	-0,6181036888	Non RNA-binding protein			
sll0564	-0,618540611	Non RNA-binding protein			
sll5097	-0,619149201	Non RNA-binding protein			
sll5097	-0,619149201	Non RNA-binding protein			
ssl3692	-0,6204986406	Non RNA-binding protein			
slr5082	-0,6206153498	Non RNA-binding protein			
slr5082	-0,6206153498	Non RNA-binding protein			
sll0030	-0,6206450238	Non RNA-binding protein			
slr1102	-0,6206939667	Non RNA-binding protein			
ssr2806	-0,6221600324	Non RNA-binding protein			
sll1371	-0,6231597286	Non RNA-binding protein			
slr0746	-0,6241081024	Non RNA-binding protein			
slr1517	-0,6246139474	Non RNA-binding protein			
slr0921	-0,6246575707	Non RNA-binding protein			
sll1995	-0,6248229653	Non RNA-binding protein			
sll1647	-0,6253525722	Non RNA-binding protein			
sll0068	-0,625589084	Non RNA-binding protein			
sll0838	-0,6259351977	Non RNA-binding protein			
slr1975	-0,6259480774	Non RNA-binding protein			
sll1427	-0,6262211041	Non RNA-binding protein			
slr1423	-0,6266976281	Non RNA-binding protein			
sll1542	-0,6267137089	Non RNA-binding protein	DUF2887-DUF4351		4 right
sll0518	-0,6269727638	Non RNA-binding protein			
ssl7045	-0,627236757	Non RNA-binding protein			
slr1598	-0,6273681181	Non RNA-binding protein			
sll7009	-0,628011737	Non RNA-binding protein			
sll7009	-0,628011737	Non RNA-binding protein			
sll0809	-0,6286111005	Non RNA-binding protein			
ssl2064	-0,6287479648	Non RNA-binding protein	DUF4160		
slr0637	-0,6288389414	Non RNA-binding protein			
sll7056	-0,6289190009	Non RNA-binding protein			
slr0292	-0,629273955	Non RNA-binding protein			
sll0766	-0,6296424964	Non RNA-binding protein			
slr0899	-0,6301841292	Non RNA-binding protein			
sll0480	-0,630264789	Non RNA-binding protein			
sll0430	-0,6304542527	Non RNA-binding protein			
slr1901	-0,6320719315	Non RNA-binding protein			
sll8020	-0,6323804327	Non RNA-binding protein			
sll8020	-0,6323804327	Non RNA-binding protein			
sll0226	-0,6336844018	Non RNA-binding protein			
sll1405	-0,6340172367	Non RNA-binding protein			
slr0526	-0,6346828263	Non RNA-binding protein			
slr0053	-0,6350723523	Non RNA-binding protein			
ssr2318	-0,6353251189	Non RNA-binding protein			
slr2100	-0,6353947297	Non RNA-binding protein			
slr1684	-0,6362356482	Non RNA-binding protein			
sll0095	-0,6362774832	Non RNA-binding protein			
sll2008	-0,6364013269	Non RNA-binding protein			
sll1848	-0,6364795968	Non RNA-binding protein			
sll1377	-0,6380994428	Non RNA-binding protein			
slr1900	-0,6391764803	Non RNA-binding protein			
sll0776	-0,6392259335	Non RNA-binding protein			
slr1411	-0,6397183947	Non RNA-binding protein			
ssr3188	-0,6409602069	Non RNA-binding protein			
sll1911	-0,6414898531	Non RNA-binding protein			
sll1236	-0,641849073	Non RNA-binding protein			
slr1879	-0,6420726039	Non RNA-binding protein			
ssr0663	-0,6434198153	Non RNA-binding protein			
sll0487	-0,6435045418	Non RNA-binding protein			
sll0711	-0,6442397551	Non RNA-binding protein			
slr0067	-0,6444867799	Non RNA-binding protein			
sll1425	-0,6445598512	Non RNA-binding protein			
slr1590	-0,6459238664	Non RNA-binding protein			
sll1971	-0,6468748686	Non RNA-binding protein			
sll1599	-0,6472501704	Non RNA-binding protein			
slr0903	-0,6477330099	Non RNA-binding protein			
ssl2153	-0,648497175	Non RNA-binding protein			
ssr5011	-0,6495291222	Non RNA-binding protein			
ssr5011	-0,6495291222	Non RNA-binding protein			
slr0731	-0,6500892756	Non RNA-binding protein			
slr2003	-0,6507270596	Non RNA-binding protein			
slr1670	-0,6507888393	Non RNA-binding protein			
slr1048	-0,6519005872	Non RNA-binding protein			
slr0752	-0,6524438409	Non RNA-binding protein			
ssr2831	-0,6528446257	Non RNA-binding protein			
sll0174	-0,6530683528	Non RNA-binding protein			
sll0502	-0,6532112191	Non RNA-binding protein			
slr1742	-0,6532408602	Non RNA-binding protein			
slr0722	-0,6537718771	Non RNA-binding protein			
sll5041	-0,6538995208	Non RNA-binding protein			
sll0779	-0,6548354489	Non RNA-binding protein			
slr1584	-0,6548670497	Non RNA-binding protein			
slr1911	-0,6557674135	Non RNA-binding protein			
sll0002	-0,6561906657	Non RNA-binding protein			
sll5048	-0,6564570205	Non RNA-binding protein			
sll5048	-0,6564570205	Non RNA-binding protein			
slr1226	-0,6564649577	Non RNA-binding protein			
sll1076	-0,656574955	Non RNA-binding protein			
slr1583	-0,6566841746	Non RNA-binding protein			
sll1697	-0,6572952534	Non RNA-binding protein			
sll0811	-0,6585410426	Non RNA-binding protein			
slr0021	-0,6597197544	Non RNA-binding protein			
slr1094	-0,6598062344	Non RNA-binding protein			
slr0935	-0,6606783993	Non RNA-binding protein			
sll0447	-0,6610099701	Non RNA-binding protein			
sll6060	-0,6623223979	Non RNA-binding protein			
sll6060	-0,6623223979	Non RNA-binding protein			
slr1837	-0,662731255	Non RNA-binding protein			
sll0006	-0,662791445	Non RNA-binding protein			
slr1085	-0,6628396944	Non RNA-binding protein			
sll1147	-0,6628458466	Non RNA-binding protein			
sll0672	-0,6633783722	Non RNA-binding protein			
slr1622	-0,6643766364	Non RNA-binding protein			
ssl7045	-0,6644941508	Non RNA-binding protein			
sll0048	-0,6655734786	Non RNA-binding protein			
